CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
SUB000431,subapplication,Web Based Application,WBS000066,IM0000061,Closed,5,5,5,0.433426008,request for information,KM0000603,closed,3,01-03-2013 10:19,24-01-2014 15:20,,27-01-2014 12:44,23,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000062,Closed,4,4,4,0.335109108,incident,KM0000553,closed,2,04-03-2013 12:31,,08-11-2013 15:33,08-11-2013 15:33,4,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000064,Closed,3,3,3,0.481872792,incident,KM0000611,closed,4,05-03-2013 13:58,,08-11-2013 15:35,08-11-2013 15:35,2,,,,,,
SBA000314,application,Server Based Application,WBS000054,IM0000067,Closed,5,5,5,0.719922533,incident,KM0000650,closed,25,11-03-2013 09:08,08-10-2013 09:14,09-10-2013 13:41,09-10-2013 13:41,8,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000068,Closed,4,4,4,0.466746714,incident,KM0000553,closed,8,12-03-2013 09:54,,08-11-2013 15:34,08-11-2013 15:34,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000071,Closed,4,4,4,0.640788604,incident,KM0000611,closed,4,15-03-2013 15:25,03-01-2014 14:14,06-01-2014 11:50,06-01-2014 11:51,1,,,,,,
SAP000005,application,SAP,WBS000271,IM0000073,Closed,5,5,5,0.683291495,request for information,KM0001124,closed,30,21-03-2013 14:54,,01-10-2013 07:52,01-10-2013 07:52,6,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000074,Closed,3,3,3,0.695187047,incident,KM0000553,closed,15,26-03-2013 12:23,24-03-2014 12:35,24-03-2014 13:28,24-03-2014 13:28,1,,,,,,
SUB000456,subapplication,Web Based Application,WBS000073,IM0000075,Closed,4,4,4,0.588797918,incident,KM0000741,closed,9,27-03-2013 10:07,10-04-2013 09:15,30-12-2013 10:34,30-12-2013 10:36,37,,,,,,
SAP000004,application,SAP,WBS000271,IM0000078,Closed,5,5,5,0.775691867,request for information,KM0001572,closed,37,03-04-2013 12:11,,17-10-2013 11:43,17-10-2013 11:43,1,,,,,,
SAP000003,application,SAP,WBS000271,IM0000080,Closed,4,4,4,0.282283906,incident,KM0001163,closed,26,04-04-2013 12:33,21-10-2013 08:50,16-01-2014 14:20,16-01-2014 14:21,1,,,,,,
SBA000462,application,Server Based Application,WBS000073,IM0000081,Closed,4,3,3,0.461804336,incident,KM0001363,closed,7,05-04-2013 10:17,,30-12-2013 10:39,30-12-2013 10:40,1,,,,,,
WBA000133,application,Web Based Application,WBS000073,IM0000082,Closed,4,4,4,0.039607326,incident,KM0001311,closed,6,05-04-2013 10:19,18-11-2013 09:46,05-12-2013 12:00,05-12-2013 12:00,122,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000083,Closed,4,4,4,0.618856225,incident,KM0000611,closed,2,09-04-2013 12:49,,08-11-2013 15:36,08-11-2013 15:36,1,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000084,Closed,4,4,4,0.572816912,incident,KM0000401,closed,4,10-04-2013 13:20,,08-11-2013 15:41,08-11-2013 15:41,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000085,Closed,3,4,3,0.462625534,incident,KM0000611,closed,4,10-04-2013 15:13,,08-11-2013 15:46,08-11-2013 15:46,1,,,,,,
SAP000004,application,SAP,WBS000271,IM0000088,Closed,5,5,5,0.773604774,request for information,KM0001264,closed,32,16-04-2013 11:07,12-11-2013 12:04,12-11-2013 12:13,12-11-2013 12:13,7,,,,,,
CBA000014,application,Client Based Application,WBS000073,IM0000089,Closed,4,4,4,0.001178621,incident,KM0001346,closed,9,16-04-2013 14:51,,27-11-2013 14:23,27-11-2013 14:23,1,,,,,,
SBA000045,application,Server Based Application,WBS000170,IM0000090,Closed,5,5,5,0.283634692,incident,KM0000565,closed,1,17-04-2013 09:06,,22-01-2014 16:19,22-01-2014 16:20,21,,,,,,
SBA000172,application,Server Based Application,WBS000014,IM0000091,Closed,4,4,4,0.485062587,incident,KM0000426,closed,1,17-04-2013 14:31,,08-10-2013 11:19,08-10-2013 11:25,1,,,,,,
SBA000607,application,Server Based Application,WBS000263,IM0000092,Closed,5,5,5,0.603933029,request for information,KM0000592,closed,12,17-04-2013 16:20,,30-01-2014 09:19,30-01-2014 09:19,1,,,,,,
SUB000002,subapplication,Citrix,WBS000098,IM0000094,Closed,4,4,4,0.388681292,incident,KM0001435,closed,4,19-04-2013 08:26,,16-10-2013 12:20,16-10-2013 12:20,1,,,,,,
STA000033,application,Standard Application,WBS000066,IM0000095,Closed,4,4,4,0.523734033,incident,KM0000575,closed,8,22-04-2013 12:07,,29-01-2014 15:31,29-01-2014 15:31,2,,,,,,
WBA000133,application,Web Based Application,WBS000073,IM0000098,Closed,4,5,4,0.895752799,incident,KM0000711,closed,1,24-04-2013 15:24,,12-10-2013 16:28,12-10-2013 16:28,1,,,,,,
SBA000782,application,Server Based Application,WBS000043,IM0000099,Closed,3,3,3,0.637701727,incident,KM0000220,closed,1,25-04-2013 10:20,,09-12-2013 14:32,09-12-2013 14:32,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000100,Closed,4,4,4,0.20113793,incident,KM0000611,closed,8,25-04-2013 14:37,,12-11-2013 13:32,12-11-2013 13:32,61,,,,,,
WBA000116,application,Web Based Application,WBS000066,IM0000101,Closed,4,4,4,0.268451314,incident,KM0000579,closed,2,25-04-2013 14:51,,12-11-2013 13:25,12-11-2013 13:26,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000103,Closed,4,4,4,0.222209962,incident,KM0000611,closed,4,26-04-2013 15:33,,12-11-2013 13:33,12-11-2013 13:33,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000104,Closed,4,4,4,0.979540257,incident,KM0000611,closed,4,01-05-2013 11:47,,12-11-2013 13:34,12-11-2013 13:34,2,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000105,Closed,5,5,5,0.109542654,incident,KM0000611,closed,9,03-05-2013 12:00,,09-01-2014 14:27,09-01-2014 14:27,5,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000106,Closed,4,4,4,0.587225966,incident,KM0000553,closed,4,06-05-2013 10:11,,12-11-2013 13:35,12-11-2013 13:35,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000107,Closed,4,4,4,0.186114044,incident,KM0000611,closed,2,06-05-2013 13:50,,12-11-2013 14:03,12-11-2013 14:03,1,,,,,,
SBA000458,application,Server Based Application,WBS000073,IM0000109,Closed,4,4,4,0.982712191,incident,KM0001539,closed,8,07-05-2013 11:44,,20-12-2013 15:33,20-12-2013 15:33,1,,,,,,
SBA000033,application,Server Based Application,WBS000086,IM0000110,Closed,4,4,4,0.697089437,incident,KM0000041,closed,3,07-05-2013 11:44,,07-01-2014 09:50,07-01-2014 09:50,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000111,Closed,4,4,4,0.296831585,incident,KM0000611,closed,13,07-05-2013 14:04,,05-12-2013 11:19,05-12-2013 11:19,1,,,,,,
CBA000014,application,Client Based Application,WBS000073,IM0000112,Closed,5,5,5,0.965152363,incident,KM0001723,closed,15,07-05-2013 15:04,17-05-2013 09:08,,09-12-2013 08:42,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000113,Closed,4,4,4,0.68115697,incident,KM0000611,closed,8,07-05-2013 15:12,,05-12-2013 11:15,05-12-2013 11:16,6,,,,,,
SBA000263,application,Server Based Application,WBS000072,IM0000114,Closed,5,5,5,0.06364679,request for information,KM0001116,closed,8,10-05-2013 11:04,10-10-2013 14:48,21-10-2013 11:48,21-10-2013 11:48,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000115,Closed,3,3,3,0.232393197,incident,KM0000611,closed,2,13-05-2013 11:19,,12-11-2013 13:38,12-11-2013 13:39,3,,,,,,
WBA000024,application,Web Based Application,WBS000027,IM0000117,Closed,4,4,4,0.098705575,incident,KM0001424,closed,7,15-05-2013 12:34,05-03-2014 08:34,05-03-2014 08:34,05-03-2014 08:34,5,,,,,,
SBA000765,application,Server Based Application,WBS000300,IM0000120,Closed,3,3,3,0.231178197,incident,KM0001274,closed,6,22-05-2013 00:42,22-05-2013 15:27,,17-01-2014 15:00,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000121,Closed,4,4,4,0.617566356,incident,KM0000611,closed,2,22-05-2013 10:09,,12-11-2013 13:36,12-11-2013 13:36,1,,,,,,
SBA000834,application,Server Based Application,WBS000223,IM0000122,Closed,4,4,4,0.564637939,incident,KM0000979,closed,22,22-05-2013 11:21,12-08-2013 10:16,,14-10-2013 14:15,8,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000123,Closed,5,5,5,0.344261805,incident,KM0000611,closed,10,22-05-2013 12:01,,12-11-2013 14:06,12-11-2013 14:06,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000124,Closed,4,4,4,0.231572675,incident,KM0000611,closed,4,22-05-2013 14:15,,12-11-2013 14:05,12-11-2013 14:05,1,,,,,,
SBA000176,application,Server Based Application,WBS000311,IM0000125,Closed,3,3,3,0.527580856,incident,KM0001274,closed,3,23-05-2013 10:48,,10-10-2013 14:48,10-10-2013 14:49,5,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000126,Closed,4,4,4,0.765434029,incident,KM0000611,closed,2,23-05-2013 14:38,,12-11-2013 13:37,12-11-2013 13:37,1,,,,,,
SBA000782,application,Server Based Application,WBS000043,IM0000127,Closed,3,3,3,0.338412806,incident,KM0001763,closed,1,24-05-2013 08:05,,17-10-2013 14:23,17-10-2013 14:23,1,,,,,,
WBA000094,application,Web Based Application,WBS000073,IM0000128,Closed,4,4,4,0.714684316,incident,KM0001732,closed,0,24-05-2013 09:34,27-06-2013 14:56,05-12-2013 08:27,05-12-2013 08:28,1,,,,,,
SBA000301,application,Server Based Application,WBS000142,IM0000129,Closed,4,4,4,0.734281231,request for information,KM0000647,closed,10,27-05-2013 10:44,,16-01-2014 15:12,16-01-2014 15:12,7,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000130,Closed,4,4,4,0.084297089,incident,KM0000553,closed,2,27-05-2013 15:38,,12-11-2013 13:41,12-11-2013 13:41,1,,,,,,
SBA000480,application,Server Based Application,WBS000109,IM0000131,Closed,5,5,5,0.48018606,incident,KM0000530,closed,5,27-05-2013 16:28,20-06-2013 14:23,05-11-2013 10:36,05-11-2013 10:36,9,,,,,,
SAP000003,application,SAP,WBS000271,IM0000132,Closed,5,5,5,0.959622117,request for information,KM0001163,closed,12,29-05-2013 09:15,,10-10-2013 13:40,10-10-2013 13:40,3,,,,,,
SBA000263,application,Server Based Application,WBS000072,IM0000133,Closed,5,5,5,0.199091024,request for information,KM0001112,closed,6,30-05-2013 14:28,25-10-2013 11:29,05-11-2013 15:15,05-11-2013 15:15,8,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000134,Closed,3,3,3,0.351627289,incident,KM0000401,closed,2,31-05-2013 09:20,,12-11-2013 13:42,12-11-2013 13:43,1,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000135,Closed,4,4,4,0.099276903,incident,KM0000553,closed,4,03-06-2013 10:09,,12-11-2013 13:47,12-11-2013 13:47,1,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000136,Closed,4,4,4,0.992261495,incident,KM0000401,closed,2,04-06-2013 09:25,,12-11-2013 13:38,12-11-2013 13:38,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000137,Closed,4,4,4,0.360881069,incident,KM0000611,closed,2,04-06-2013 10:00,,12-11-2013 13:42,12-11-2013 13:42,1,,,,,,
SBA000045,application,Server Based Application,WBS000170,IM0000139,Closed,4,4,4,0.56691083,incident,KM0000565,closed,3,04-06-2013 16:13,,29-01-2014 10:47,29-01-2014 10:47,7,,,,,,
SUB000545,subapplication,Web Based Application,WBS000073,IM0000140,Closed,5,5,5,0.399095833,incident,KM0000795,closed,1,05-06-2013 08:24,,20-11-2013 16:43,20-11-2013 16:43,1,,,,,,
SAP000004,application,SAP,WBS000271,IM0000142,Closed,5,5,5,0.602360706,request for information,KM0001269,closed,15,06-06-2013 08:54,13-09-2013 11:33,23-10-2013 17:21,23-10-2013 17:21,6,,,,,,
SBA000834,application,Server Based Application,WBS000223,IM0000143,Closed,4,4,4,0.428121508,incident,KM0001509,closed,6,06-06-2013 11:14,10-06-2013 12:22,04-12-2013 14:54,04-12-2013 14:54,1,,,,,,
WBA000133,application,Web Based Application,WBS000073,IM0000145,Closed,4,5,4,0.587638286,incident,KM0000711,closed,15,10-06-2013 08:53,,15-11-2013 15:27,15-11-2013 15:27,7,,,,,,
STA000033,application,Standard Application,WBS000066,IM0000146,Closed,3,3,3,0.939614352,incident,KM0000575,closed,3,10-06-2013 13:00,,29-01-2014 14:30,29-01-2014 14:31,1,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000147,Closed,4,4,4,0.139540592,incident,KM0000401,closed,26,10-06-2013 16:33,,12-11-2013 14:18,12-11-2013 14:18,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000148,Closed,4,4,4,0.402756938,incident,KM0000611,closed,2,10-06-2013 16:44,,12-11-2013 13:42,12-11-2013 13:43,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000149,Closed,4,4,4,0.884999664,incident,KM0000611,closed,5,11-06-2013 10:28,10-10-2013 15:06,16-10-2013 14:09,16-10-2013 14:09,3,,,,,,
SBA000782,application,Server Based Application,WBS000043,IM0000151,Closed,NS,3,NA,0.610829367,incident,KM0001763,closed,1,11-06-2013 16:17,,17-10-2013 15:03,17-10-2013 15:03,9,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000152,Closed,4,4,4,0.686274493,incident,KM0000611,closed,7,12-06-2013 16:48,,12-11-2013 14:05,12-11-2013 14:05,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000153,Closed,4,4,4,0.135839878,incident,KM0000611,closed,2,12-06-2013 14:57,,12-11-2013 13:44,12-11-2013 13:44,1,,,,,,
SUB000465,subapplication,Web Based Application,WBS000073,IM0000154,Closed,4,4,4,0.289314694,incident,KM0000778,closed,2,13-06-2013 10:23,,04-11-2013 14:00,04-11-2013 14:01,1,,,,,,
SBA000782,application,Server Based Application,WBS000043,IM0000155,Closed,3,3,3,0.527348581,incident,KM0001763,closed,1,13-06-2013 10:42,,09-12-2013 15:05,09-12-2013 15:05,1,,,,,,
SAP000003,application,SAP,WBS000271,IM0000156,Closed,5,5,5,0.65449422,incident,KM0001163,closed,9,13-06-2013 11:48,,18-12-2013 09:09,18-12-2013 09:10,1,,,,,,
SBA000834,application,Server Based Application,WBS000223,IM0000157,Closed,5,5,5,0.643286309,incident,KM0000979,closed,2,14-06-2013 13:42,,21-11-2013 10:24,21-11-2013 10:25,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000158,Closed,3,3,3,0.20223863,incident,KM0000611,closed,2,17-06-2013 11:11,,12-11-2013 13:46,12-11-2013 13:46,1,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000159,Closed,4,4,4,0.827583428,incident,KM0000401,closed,4,17-06-2013 14:47,,12-11-2013 13:46,12-11-2013 13:46,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000160,Closed,5,5,5,0.839190322,request for information,KM0000611,closed,8,18-06-2013 13:44,,12-11-2013 14:33,12-11-2013 14:33,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000161,Closed,4,4,4,0.508676128,incident,KM0000611,closed,6,19-06-2013 05:54,,08-11-2013 15:06,08-11-2013 15:06,3,,,,,,
WBA000077,application,Web Based Application,WBS000153,IM0000162,Closed,5,5,5,0.9836344,incident,KM0000412,closed,0,19-06-2013 15:33,,,10-10-2013 17:26,4,,,,,,
WSR001424,computer,Windows Server,WBS000102,IM0000163,Closed,4,4,4,0.385271533,incident,KM0000970,closed,7,19-06-2013 15:46,,13-02-2014 15:14,13-02-2014 15:14,1,,,,,,
WBA000011,application,Web Based Application,WBS000152,IM0000164,Closed,5,5,5,0.4033218,incident,KM0001724,closed,6,20-06-2013 13:01,29-01-2014 09:34,05-02-2014 07:32,05-02-2014 07:33,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000166,Closed,4,4,4,0.307174989,incident,KM0000611,closed,2,24-06-2013 14:43,,12-11-2013 13:51,12-11-2013 13:51,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000167,Closed,4,4,4,0.648836001,incident,KM0000611,closed,2,26-06-2013 11:36,,12-11-2013 13:47,12-11-2013 13:47,1,,,,,,
STA000033,application,Standard Application,WBS000066,IM0000168,Closed,5,5,5,0.875886097,incident,KM0000575,closed,2,26-06-2013 12:09,,18-11-2013 09:14,18-11-2013 09:15,5,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000170,Closed,4,4,4,0.889155739,incident,KM0000611,closed,13,27-06-2013 10:11,20-01-2014 09:47,13-02-2014 15:17,13-02-2014 15:17,1,,,,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000171,Closed,3,3,3,0.540691699,incident,KM0000553,closed,6,27-06-2013 10:24,,12-11-2013 15:27,12-11-2013 15:27,6,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000172,Closed,4,4,4,0.586489663,incident,KM0000611,closed,4,27-06-2013 12:51,,12-11-2013 13:49,12-11-2013 13:49,1,,,,,,
SBA000782,application,Server Based Application,WBS000043,IM0000173,Closed,3,3,3,0.881855936,incident,KM0001763,closed,1,28-06-2013 07:52,,09-12-2013 15:07,09-12-2013 15:08,1,,,,,,
SBA000045,application,Server Based Application,WBS000170,IM0000174,Closed,5,5,5,0.884553926,incident,KM0000565,closed,1,28-06-2013 08:42,,08-01-2014 15:24,08-01-2014 15:24,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000175,Closed,4,4,4,0.955693081,incident,KM0000611,closed,2,28-06-2013 09:11,,12-11-2013 14:08,12-11-2013 14:09,1,,,,,,
SUB000068,subapplication,Server Based Application,WBS000129,IM0000176,Closed,3,3,3,0.91246942,incident,KM0001274,closed,3,28-06-2013 12:06,,04-10-2013 13:47,04-10-2013 14:23,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000177,Closed,4,4,4,0.038186122,incident,KM0000611,closed,2,01-07-2013 11:30,,12-11-2013 13:49,12-11-2013 13:49,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000178,Closed,4,4,4,0.752879126,incident,KM0000611,closed,6,01-07-2013 14:25,,19-12-2013 11:19,19-12-2013 11:19,1,,,,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000179,Closed,4,4,4,0.477671355,incident,KM0000928,closed,3,02-07-2013 11:22,,17-02-2014 12:58,17-02-2014 12:58,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000180,Closed,4,4,4,0.767496996,incident,KM0000611,closed,10,03-07-2013 14:45,,12-11-2013 14:41,12-11-2013 14:41,9,,,,,,
SBA000464,application,Server Based Application,WBS000073,IM0000181,Closed,4,4,4,0.585335212,incident,KM0001369,closed,5,04-07-2013 10:06,,15-10-2013 14:07,15-10-2013 14:07,6,,,,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000182,Closed,5,5,5,0.7439431,incident,KM0000928,closed,2,04-07-2013 10:01,,02-10-2013 08:10,02-10-2013 08:10,6,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000183,Closed,5,5,5,0.636269154,incident,KM0000401,closed,7,04-07-2013 15:27,,01-10-2013 16:28,01-10-2013 16:28,6,,,,,,
STA000033,application,Standard Application,WBS000066,IM0000184,Closed,4,4,4,0.877300897,incident,KM0000575,closed,2,05-07-2013 13:35,,18-11-2013 09:22,18-11-2013 09:24,0,,,,,,
